Date,Title,Article,Link
"Tue, August 8, 2017| 03:14 pm","Viktor Laiskodat need not apologize, be sanctioned: NasDem","The NasDem Party has insisted it does not need to apologize or impose sanctions on Viktor Bungtilu Laiskodat, one of its politicians who recently made a controversial statement. The party claimed Viktor did not say anything wrong and instead warned other parties not to be overly emotional or overreact. â€œWhy should we apologize? There was no intention to defame other parties. As political actors, they should first check the source of the video and watch it in its entirety. They should listen to the full speech. If not, it will be dangerous for the country,â€ù NasDem central executive board chairman Zulfan Lindan said on Monday. (Read also: PKS joins Gerindra in legal action against Viktor's caliphate remarks) The case began when video footage of Viktor delivering a political speech in his electoral district in Kupang, East Nusa Tenggara, in which he mentioned the establishment of a caliphate, went viral on social media. Viktor has been accused of stating in his speech that Gerindra, the leading opposition party, supported the establishment of a caliphate because it did not support the issuance of a regulation in lieu of law (Perppu) on mass organizations. Viktor also apparently implied that the Democratic Party, the Prosperous Justice Party (PKS) and the National Mandate Party (PAN) also supported the establishment of a caliphate, a system that violates the principles of Pancasila. â€œWhy should we impose a sanction when he didn't do anything wrong? His speech was very good, encouraging us to maintain Pancasila and Unity in Diversity principles,â€ù said Johnny G. Platte, the secretary of the NasDem faction at the House of Representatives. Â (ebf)",http://www.thejakartapost.com/news/2017/08/08/viktor-laiskodat-need-not-apologize-be-sanctioned-nasdem.html
"Wed, July 26, 2017| 05:22 pm",Constitutional Court hears HTI complaint against Perppu,"The Constitutional Court held its first session on Wednesday to hear a complaint from the now-disbanded Hizbut Tahrir Indonesia (HTI), which has challenged the legality of a presidential regulation in lieu of law (Perppu) issued as the legal basis for disbanding the Islamic organization. Representing the organization is senior lawyer and former law and human rights minister Yusril Ihza Mahendra, who in his first statement to the court asked the justices to decide who should file the complaint in the first place. ""We have a bit of a legal problem regarding the legal standing of who should file the judicial review. We want the panel of judges to provide clarification on this,"" Yusril told the hearing. Responding to the statement, Constitutional Court justice I Gede Dewa Palguna said both individuals in the organization or officials representing HTI could file the judicial review. Earlier this month, President Joko ""Jokowi"" Widodo signed a the Perppu to ban organizations deemed anti-Pancasila. Last week, the Law and Human Rights Ministry issued a follow-up regulation to disband the HTI based on the Perppu. The HTI said it would also challenge the decision at a state administrative court.",http://www.thejakartapost.com/news/2017/07/26/constitutional-court-hears-hti-complaint-against-perppu.html
"Fri, July 21, 2017| 11:22 pm",Election law should not exist: Expert,"Constitutional law expert Yusril Ihza Mahendra has said he is ready to file a judicial review request with the Constitutional Court to challenge the newly-passed election bill. â€œAs soon as the President [Joko â€˜Jokowiâ€™ Widodo] signs the election law, I will file a judicial review request,â€ù he said in an a statement on Friday. On Thursday, the House of Representatives passed a long overdue election bill, which requires a presidential candidate to get support from a party or coalition of parties with at least 20 percent of the seats in the legislature or 25 percent of the popular vote based on the outcome of the 2014 legislative elections. Yusril said the presidential threshold contradicted the 1945 Constitution and, therefore, should not exist. â€œThe submission of a recommendation for president and vice president candidates from political parties should be carried out before the legislative election. Whether or not the election is simultaneous, the presidential threshold should not exist,â€ù he said. Yusril hoped the Constitutional Court would be neutral in examining his request for a review on the election bill. â€œI hope no one interferes with the court,â€ù he said, adding he was ready to file the judicial review alone should no one else want to fight against the law. (ecn/ebf)",http://www.thejakartapost.com/news/2017/07/21/election-law-should-not-exist-expert.html
"Fri, July 21, 2017| 09:00 am",Police investigate mass organizations believed to be â€˜anti-Pancasilaâ€™,"The National Police are investigating a number of organizations believed to be acting against the state ideology of Pancasila and the 1945 Constitution, a day after the government banned Islamic organization Hizbut Tahrir Indonesia (HTI). Â â€œThere are some organizations [suspected of acting against the Pancasila]. We are investigating them,â€ù said National Police spokesman Insp. Gen. Setyo Wasisto as reported by Antara. Signed on July 10, presidential regulation in lieu of law (Perppu) No.2/2017 on Mass Organizations gives the government the power to disband an organization without due process and prohibits any organization to adopt and spread an ideology contradicting Pancasila. Police are communicating with the Law and Human Rights Ministry and the Coordinating Political, Legal and Security Affairs Ministry in their investigation into the organizations. On Wednesday, the government banned HTI, an organization that aims to establish a global Islamic caliphate, claiming its actions were not in line with Pancasila â€” the foundation of Indonesiaâ€™s pluralistic society. Rights activists consider the move â€œundemocraticâ€ù and threatened the freedom of assembly and association. Amnesty International Indonesia chairman Usman Hamid said banning HTI would instead push some of its most conservative members to join extreme, violent groups operating underground, and this would eventually bring further threats to the country. (saf/ebf)",http://www.thejakartapost.com/news/2017/07/21/police-investigate-mass-organizations-believed-to-be-anti-pancasila.html
"Thu, July 20, 2017| 10:00 pm",Hizbut Tahrir may file lawsuit against disbandment: Police,"National Police chief Gen. Tito Karnavian has called on Hizbut Tahrir Indonesia (HTI) to take legal action against its official disbandment should the Muslim group deem it Â unacceptable. He added that instead of responding with violence, HTI followers should challenge in court the governmentâ€™s decision to revoke the organizationâ€™s legal status. â€œIf HTI cannot accept the decision, they can use any legal mechanism,â€ù he told journalists in Jakarta on Thursday. Tito further warned that police would use Article 107b of Law No.27/1999 on State Security to take action against any acts of violence. (Read also: Hizbut Tahrir to challenge disbandment by government) The government disbanded HTI on Wednesday for conducting activities that contradict the Pancasila state ideology and the principle of the Unitary State of the Republic Indonesia (NKRI). The revocation of HTIâ€™s status as a legal entity was based on presidential regulation in lieu of law (Perppu) No.2/2017 on Mass Organizations, which was issued on July 10. Separately, National Police spokesperson Insp. Gen. Setyo Wasisto said police would not seal HTIâ€™s offices, adding that the government only banned the organization, not its religious activities. â€œBut if in their religious activities, they spread messages that defy the Pancasila and NKRI, we might take security measures against them,â€ù he said. HTI is set to file a lawsuit with the Jakarta State Administrative Court (PTUN) to challenge the revocation of its legal status. (ecn/ebf)",http://www.thejakartapost.com/news/2017/07/20/hizbut-tahrir-may-file-lawsuit-against-disbandment-police.html
"Thu, July 20, 2017| 10:00 pm",Hizbut Tahrir may file lawsuit against disbandment: Police,"National Police chief Gen. Tito Karnavian has called on Hizbut Tahrir Indonesia (HTI) to take legal action against its official disbandment should the Muslim group deem it Â unacceptable. He added that instead of responding with violence, HTI followers should challenge in court the governmentâ€™s decision to revoke the organizationâ€™s legal status. â€œIf HTI cannot accept the decision, they can use any legal mechanism,â€ù he told journalists in Jakarta on Thursday. Tito further warned that police would use Article 107b of Law No.27/1999 on State Security to take action against any acts of violence. (Read also: Hizbut Tahrir to challenge disbandment by government) The government disbanded HTI on Wednesday for conducting activities that contradict the Pancasila state ideology and the principle of the Unitary State of the Republic Indonesia (NKRI). The revocation of HTIâ€™s status as a legal entity was based on presidential regulation in lieu of law (Perppu) No.2/2017 on Mass Organizations, which was issued on July 10. Separately, National Police spokesperson Insp. Gen. Setyo Wasisto said police would not seal HTIâ€™s offices, adding that the government only banned the organization, not its religious activities. â€œBut if in their religious activities, they spread messages that defy the Pancasila and NKRI, we might take security measures against them,â€ù he said. HTI is set to file a lawsuit with the Jakarta State Administrative Court (PTUN) to challenge the revocation of its legal status. (ecn/ebf)",http://www.thejakartapost.com/news/2017/07/20/hizbut-tahrir-may-file-lawsuit-against-disbandment-police.html?fb_comment_id=1496494080393982_1496517273724996
"Wed, July 19, 2017| 11:03 am",Indonesia disbands Islamic group Hizbut Tahrir,"The government has disbanded Muslim hard-line group Hizbut Tahrir Indonesia (HTI) for conducting activities that contradict state ideology Pancasila and the principle of a unitary state of the republic of Indonesia. The Law and Human Rights Ministry officially revoked HTI's status as a legal entity on Wednesday. The move was taken following the issuance of a regulation in lieu of law (Perppu) on mass organizations. The Perppu has sparked concerns over potential violations of the right to assemble as it grants the government the power to disband mass groups without due process. Read also: Dems side with opposition against Perppu on mass groups ""With the revocation of its legal status, we declared that the HTI is disbanded, in accordance with Article 80A of the Perppu,"" the ministry's legal administration director-general, Freddy Harris, told reporters. Although the HTI mentioned Pancasila as its ideology in its statute (AD/ART), facts show that its activities are not in line with Pancasila, he said. ""It acts against its own AD/ART. Our decision to revoke its legal status is based on extensive consideration, long examination and input from relevant institutions,"" Freddy said. Read also: HTI turns to MK to annul Perppu on mass organizations The ministry issued the HTI a permit in July 2014. Since then, the group has reportedly promoted the establishment of a caliphate, which contradicts Pancasila. Freddy said the HTI could take legal measures against the move if it so wished. (bbs)",http://www.thejakartapost.com/news/2017/07/19/govt-disbands-hti.html?fb_comment_id=1582561018450107_1582674035105472
"Wed, July 19, 2017| 03:30 pm",Islamic group Hizbut Tahrir condemns disbandment by government,"Hizbut Tahrir Indonesia (HTI) has condemned the governmentâ€™s decision to revoke the Muslim organizationâ€™s legal status, calling it an arbitrary act. Speaking to The Jakarta Post right after the government announced the move on Wednesday, HTI spokesman Ismail Yusanto said the group had never received a warning letter. According to Article 62 of the 2017 Regulation in Lieu of Law (Perppu) on Mass Organizations, the government should issue a warning letter and terminate activities of an organization before revoking its status as a legal entity. â€œThe government has violated its own regulation. According to the Perppu, we should be subject to administrative sanctions first, not immediate disbandment,â€ù Ismail said. (Read also: Indonesia disbands Islamic group Hizbut Tahrir) The Law and Human Rights Ministry announced earlier that it had revoked HTIâ€™s legal entity status because the group had conducted activities opposed to Pancasila, the state ideology. Even though HTI had stated in its statutes and rules of association that it adopted Pancasila values, the group had advocated the establishment of a caliphate, reflecting an ideology that was not in line with Pancasila, the ministry said. The governmentâ€™s move to issue the Perppu has been criticized, because it allows the ministry to disband any mass organization deemed to oppose Pancasila without court approval, which some have called a setback for democracy, since the government could curtail the freedom of association and expression. The HTI is the first organization to be affected by the Perppu. â€œWe won't remain silent. Weâ€™ll fight back through a legal process,â€ù Ismail said, adding that the group had not yet decided what kind of legal process it would take, as it would first examine the government's decision. (ebf)",http://www.thejakartapost.com/news/2017/07/19/islamic-group-hizbut-tahrir-condemns-disbandment-by-government.html?fb_comment_id=1272545642871306_1272620342863836
"Wed, July 19, 2017| 09:46 pm",Hizbut Tahrir to challenge disbandment by government,"Muslim group Hizbut Tahrir Indonesia (HTI) is set to file a lawsuit with the Jakarta State Administrative Court (PTUN) to challenge the revocation of its legal entity status and instruction to disband by the government, the groupâ€™s lawyer Yusril Ihza Mahendra has said. â€œWe know that our position is weak in facing the government, which has used the Perppu. We shouldnâ€™t give up on upholding justice, however. We shouldnâ€™t let a dictatorship exist in this country,â€ù said Yusril, referring to the Regulation in a Lieu of Law (Perppu) No.2/2017 on Mass Organizations, in a written statement on Wednesday, a couple hours after the government announced the official banning of the HTI. The government believes HTI contravenes the Pancasila state ideology as it promotes the Islamic caliphate (Islamic state). By issuing Perppu No.2 on July 10, the government gave the authority to the Law and Human Rights Ministry to disband all mass organizations regarded as contravening Pancasila without due process of law. (Read also: Islamic group Hizbut Tahrir condemns disbandment by government) The HTI filed a judicial review with the Constitutional Court to challenge the Perppu on Tuesday. However, Yusril said the group should take other legal steps because with the disbandment, it no longer had legal standing to file a judicial review. â€œWeâ€™re preparing the best step for the next action,â€ù said the former law and human rights minister. The Perppu has become a controversial issue and triggered condemnation from the public and rights groups as they are worried it could threaten the freedom of association and expression. (ebf)",http://www.thejakartapost.com/news/2017/07/19/hizbut-tahrir-to-challenge-disbandment-by-government.html?fb_comment_id=1320579848063585_1321115644676672
"Mon, July 17, 2017| 08:53 pm",Dems side with opposition against Perppu on mass groups,"The Democratic Party has joined a group of political parties challenging a new regulation in lieu of law (Perppu) that allows the government to disband mass organizations without the need to go through court proceedings. The party said the Perppu, issued by President Joko â€œJokowiâ€ù Widodo last week, was a threat to freedom of assembly and democracy. â€œA restriction on the freedom of assembly will stir up conflict,â€ù Democratic Party executive Agus Hermanto said. Jokowi issued the Perppu a few months after announcing a plan to disband Islamist group Hizbut Tahrir Indonesia (HTI), which is considered anti-Pancasila as it promotes the creation of an Islamic state in Indonesia.Â  The government has said that the 2013 Mass Organizations Law, which requires the government to file a request with a court to ban a mass group, had stymied the governmentâ€™s efforts to safeguard state ideology Pancasila and national unity. Besides the Democratic Party, two other opposition parties â€“ the Gerindra Party and the Prosperous Justice Party (PKS) â€“ and the National Mandate Party (PAN), which is part of the government coalition, have also criticized the Perppu. Human rights activists have also criticized the Perppu, which they say is prone to abuse and could be used to silence political dissent. The House of Representatives is scheduled to hold a plenary meeting this week to decide whether to endorse the Perppu. (ary) Â ",http://www.thejakartapost.com/news/2017/07/17/dems-side-with-opposition-against-perppu-on-mass-groups.html
"Thu, July 13, 2017| 10:00 am",Hizbut Tahrir ban undermines freedom of association: HRW,"Rights group Human Rights Watch (HRW) has criticized President Joko â€œJokowiâ€ù Widodo for signing on a regulation in lieu of law (Perppu) to ban Hizbut Tahrir Indonesia (HTI), an Islamic organization that aims to establish a global Islamic caliphate. In a statement released on Wednesday, the group called the move â€œa troubling violation of universal rights to freedom of association and expression.â€ù HRW researcher Andreas Harsono wrote that the government was only able to take legal actions against groups suspected of committing legal violations. â€œHowever, banning any organization strictly on ideological grounds is a draconian action that undermines freedom of association and expression, rights that Indonesians have fought hard to establish since the Soeharto dictatorship,â€ù Andreas said. (Read also: Govt now allowed to disband mass groups) The decision to ban HTI comes about amid worsening sectarian tension in the country, particularly during the course of the Jakarta gubernatorial election that saw a Christian incumbent governor of Chinese descent face off against a Muslim challenger. The Office of the Coordinating Political, Legal and Security Affairs Minister announced in March that the government would ban HTI from operating in the country on the grounds that its vision of establishing an Islamic caliphate contradicted the pluralistic values of Pancasila. (kuk/ebf)",http://www.thejakartapost.com/news/2017/07/13/hizbut-tahrir-ban-undermines-freedom-of-association-hrw.html?fb_comment_id=1728017763905261_1729281440445560
"Tue, July 11, 2017| 08:28 pm",Jokowi signs regulation banning Hizbut Tahrir,"President Joko â€œJokowiâ€ù Widodo has signed a regulation in lieu of law (Perppu) to ban Hizbut Tahrir Indonesia (HTI), an Islamic organization seeking to establish a global Islamic caliphate. Presidential spokesperson Johan Budi confirmed on Tuesday that Jokowi had made the move, but could not give details about the Perppu. Johan only said that Coordinating Minister for Political, Legal and Security Affairs Minister Wiranto would announce the decision on Wednesday. â€œTomorrow, Coordinating Political, Legal and Security Affairs Minister will make the announcement at the State Palace,â€ù Johan said. Chairman of the country's largest Muslim organization Nahdlatul Ulama Said Aqil Siraj, who met Jokowi on Tuesday, also confirmed that Jokowi had decided to disband HTI, adding that the announcement would be made on Thursday, not Wednesday. â€œThe Perpu has been signed by the president,â€ù Said Aqil said. Earlier in March, the office of Coordinating Political, Legal and Security Affairs announced that the government would ban HTI from operating in the country on the grounds that itâ€™s vision of establishing an Islamic caliphate contradicted the value of Pancasila, which values diversity and pluralism. Read also: Jokowi administration moves to ban Islamic group The decision to ban HTI came amidst worsening sectarianism in the country during the course ofÂ  the Jakarta gubernatorial election which saw Christian of Chinese descent Basuki Tjahaja ""Ahok' Purnama facing off against former culture and education minister Anies Baswedan. Political analyst Sidney Jones deemed Wiranto's announcement to ban HTI as politically inept and ""left Indonesia more religiously polarized than ever. She warned that the decision could come back and haunt the Jokowi government. If the HTI is eventually dissolved, it would be the first Islamic organization to be banned in the period following the downfall of the New Order authoritarian regime in 1998. During the three decades of the regime, president SoehartoÂ  banned numerous Islamic organizations whose activities and ideas deemed to be threats to the country's founding ideology Pancasila.",http://www.thejakartapost.com/news/2017/07/11/jokowi-signs-regulation-banning-hizbut-tahrir.html
